タイムスタンプ,日付,収支,3,金額,ジャンル,支払い方法・移動元,場所,,内容,,移動先・収入先,本当に必要？,カード名,メモ
2026/02/28 18:10:22,2026/02/28,支出,,661,食品,クレジットカード,コンビニ,,夕食,,,必要,デビュープラス,SEVEN-ELEVEN
2026/02/28 08:26:22,2026/02/28,支出,,503,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,SEVEN-ELEVEN
2026/02/28 06:15:09,2026/02/28,支出,,4829,固定費,クレジットカード,ネット,,電気代,,,必要,デビュープラス,1月利用分
2026/02/27 19:44:35,2026/02/27,支出,,3870,食品,クレジットカード,スーパー・小売,,食材,,,必要,デビュープラス,MAMMY MART
2026/02/27 19:10:01,2026/02/27,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2026/02/27 18:34:37,2026/02/27,支出,,1080,日用品,クレジットカード,ネット,,トイレブラシ スクラビングバブル36個,,,必要,デビュープラス,
2026/02/27 08:35:19,2026/02/27,支出,,668,食品,クレジットカード,スーパー・小売,,昼食,,,必要,デビュープラス,AEON GROUP
2026/02/27 08:29:51,2026/02/27,支出,,616,食品,クレジットカード,飲食店,,朝食,,,なくても良い,デビュープラス,YOSHINOYA
2026/02/27 08:10:50,2026/02/27,移動,,481,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/27 07:12:36,2026/02/27,移動,,10000,,クレジットカード,,,モバイルPASMOチャージ,,PASMO,,デビュープラス,モバイルＰＡＳＭＯチャージ
2026/02/27 06:15:05,2026/02/27,支出,,54300,固定費,ゆうちょ,ネット,,家賃,,,必要,,3月分
2026/02/27 06:15:05,2026/02/27,移動,,42388,,住信SBIネット銀行,,,paypayクレジット支払い,,,,,1月利用分
2026/02/27 06:15:05,2026/02/27,移動,,0,,楽天銀行,,,楽天カード 支払い,,,,,1月利用分
2026/02/26 17:07:37,2026/02/26,支出,,481,交通費,PASMO,その他,,電車 池袋〜川越市,,,なくても良い,,
2026/02/26 16:08:04,2026/02/26,支出,,715,間食,PASMO,コンビニ,,おやつ,,,{lv=リクエスト用[必要かどうか]},,{lv=リクエスト用[メモ]}
2026/02/26 15:53:06,2026/02/26,支出,,147360,美容費,クレジットカード,その他,,ヒゲ脱毛,,,なくても良い,デビュープラス,REGINACLINIC
2026/02/26 14:11:45,2026/02/26,支出,,330,間食,クレジットカード,飲食店,,おやつ,,,なくても良い,Olive,フレッシュネスバ－ガ－池袋東口店
2026/02/26 13:12:53,2026/02/26,支出,,1310,食品,クレジットカード,飲食店,,昼食,,,必要,Olive,フレッシュネスバ－ガ－池袋東口店
2026/02/26 13:04:37,2026/02/26,支出,,481,交通費,PASMO,その他,,電車 川越市〜池袋,,,なくても良い,,
2026/02/26 12:07:02,2026/02/26,支出,,5841,被服費,クレジットカード,スーパー・小売,,靴 スリップイン,,,必要,デビュープラス,
2026/02/26 06:15:26,2026/02/26,支出,,13412,減価償却,償却資産,ネット,,DXR12mkIIなど 減価償却,,,必要,,2回目/36回
2026/02/26 06:15:11,2026/02/26,移動,,162311,,住信SBIネット銀行,,,デビュープラス支払い,,,,,1月利用分
2026/02/26 06:15:11,2026/02/26,移動,,643978,,三井住友銀行,,,Olive支払い,,,,,1月利用分
2026/02/25 21:20:45,2026/02/25,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2026/02/25 19:43:00,2026/02/25,支出,,690,食品,PASMO,飲食店,,夕食,,,なくても良い,,
2026/02/25 15:41:32,2026/02/25,支出,,482,間食,クレジットカード,スーパー・小売,,おやつ,,,なくても良い,デビュープラス,TOKYU STORE
2026/02/25 09:42:34,2026/02/25,支出,,1139,食品,クレジットカード,スーパー・小売,,昼食,,,必要,デビュープラス,TOKYU STORE
2026/02/25 09:38:46,2026/02/25,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2026/02/25 06:15:09,2026/02/25,支出,,6934,固定費,クレジットカード,ネット,,ガス代,,,必要,デビュープラス,2月利用分
2026/02/26 11:41:04,2026/02/24,移動,,120000,,住信SBIネット銀行,,,SBI証券入金,,SBI証券,,,
2026/02/25 09:02:42,2026/02/24,支出,,13750,美容費,クレジットカード,その他,,美容室,,,必要,paypayクレジット,
2026/02/24 16:20:16,2026/02/24,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2026/02/24 15:28:21,2026/02/24,支出,,966,間食,クレジットカード,飲食店,,おやつ,,,なくても良い,デビュープラス,SUKAIRA-KU GURU-PU
2026/02/24 10:23:09,2026/02/24,支出,,904,食品,クレジットカード,スーパー・小売,,昼食,,,必要,デビュープラス,AEON GROUP
2026/02/24 10:10:48,2026/02/24,移動,,576,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/24 06:15:04,2026/02/24,支出,,3740,,クレジットカード,ネット,,タベソダ支払い,,,必要,デビュープラス,1月注文分
2026/02/23 20:28:25,2026/02/23,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2026/02/23 18:59:16,2026/02/23,支出,,880,食品,クレジットカード,飲食店,,夕食,,,必要,Olive,フレッシュネスバ－ガ－中目黒駅前店
2026/02/23 17:01:27,2026/02/23,収入,,18000,,,,,2026年02月分ギャラ_大澤さん,,三井住友銀行,,,
2026/02/23 08:22:00,2026/02/23,支出,,127,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,paypayクレジット,
2026/02/23 08:18:13,2026/02/23,支出,,828,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,SEVEN-ELEVEN
2026/02/23 08:12:48,2026/02/23,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2026/02/22 21:36:36,2026/02/22,支出,,1176,食品,クレジットカード,飲食店,,夕食,,,なくても良い,デビュープラス,YOSHINOYA
2026/02/22 20:56:53,2026/02/22,支出,,1040,車両費,クレジットカード,その他,,洗車,,,必要,ENEOSカード,
2026/02/22 20:53:11,2026/02/22,支出,,3749,車両費,クレジットカード,その他,,ガソリン,,,必要,ENEOSカード,26.22L給油・143.0円/L
2026/02/22 10:08:50,2026/02/22,支出,,471,食品,クレジットカード,スーパー・小売,,朝食,,,必要,デビュープラス,DRUGSEIMS SHIKINAKAMUNEOK
2026/02/22 00:25:37,2026/02/22,支出,,1600,趣味・娯楽,クレジットカード,ネット,,プロジェクトヘイルメアリー 前売り券,,,なくても良い,デビュープラス,MOVIETICKET
2026/02/21 21:12:09,2026/02/21,支出,,273,食品,クレジットカード,コンビニ,,夕食,,,なくても良い,デビュープラス,FAMILYMART
2026/02/21 08:21:48,2026/02/21,支出,,543,交通費,PASMO,その他,,電車 池袋〜東京テレポート,,,必要,,
2026/02/21 07:44:50,2026/02/21,支出,,481,交通費,PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/20 22:01:01,2026/02/20,支出,,481,交通費,PASMO,その他,,電車 池袋〜川越市,,,必要,,
2026/02/20 21:17:41,2026/02/20,支出,,370,交通費,クレジットカード,ネット,,TJライナー,,,なくても良い,Olive,
2026/02/20 21:15:45,2026/02/20,支出,,543,交通費,PASMO,その他,,電車 東京テレポート〜池袋,,,必要,,
2026/02/20 11:32:20,2026/02/20,支出,,543,交通費,PASMO,その他,,電車 池袋〜東京テレポート,,,必要,,
2026/02/20 10:56:59,2026/02/20,支出,,481,交通費,PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/19 23:34:55,2026/02/19,支出,,3520,道具類,クレジットカード,ネット,,マジックアーム2つ,,,必要,Olive,メルカリ
2026/02/19 18:02:55,2026/02/19,支出,,913,食品,クレジットカード,飲食店,,夕食,,,なくても良い,デビュープラス,RENGESYOKUDOUTOSHU HONKAW
2026/02/19 17:32:06,2026/02/19,支出,,481,交通費,PASMO,その他,,電車 池袋〜川越市,,,必要,,
2026/02/19 16:44:06,2026/02/19,支出,,208,交通費,PASMO,その他,,電車 東京〜池袋,,,必要,,
2026/02/19 13:16:54,2026/02/19,収入,,199580,,,,,2025年12月分ギャラ_TwoFace,,三井住友銀行,,,
2026/02/19 07:35:26,2026/02/19,支出,,208,交通費,PASMO,その他,,電車 池袋〜東京,,,必要,,
2026/02/19 07:04:59,2026/02/19,支出,,481,交通費,PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/17 17:55:30,2026/02/17,移動,,10000,,クレジットカード,,,モバイルPASMOチャージ,,PASMO,,デビュープラス,モバイルＰＡＳＭＯチャージ
2026/02/17 17:54:29,2026/02/17,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2026/02/17 16:55:42,2026/02/17,支出,,1056,食品,クレジットカード,飲食店,,夕食,,,必要,デビュープラス,GYOZA NO OHSHO IKEBUKUROH
2026/02/17 08:54:29,2026/02/17,支出,,2173,道具類,クレジットカード,ネット,,Smallrig アーム,,,必要,Olive,Amazon
2026/02/17 08:33:02,2026/02/17,支出,,420,食品,クレジットカード,スーパー・小売,,昼食,,,必要,デビュープラス,AEON GROUP
2026/02/17 08:28:39,2026/02/17,支出,,616,食品,クレジットカード,飲食店,,朝食,,,必要,デビュープラス,YOSHINOYA
2026/02/17 08:09:53,2026/02/17,移動,,481,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/16 21:40:41,2026/02/16,支出,,2023,道具類,クレジットカード,ネット,,スモールリグパーツとスプール,,,必要,Olive,www.aliexpress.com
2026/02/16 17:31:45,2026/02/16,支出,,746,食品,クレジットカード,コンビニ,,夕食,,,必要,デビュープラス,LAWSON
2026/02/16 17:29:04,2026/02/16,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2026/02/16 14:31:39,2026/02/16,支出,,160,間食,PASMO,自動販売機,,飲み物,,,なくても良い,,
2026/02/16 14:21:57,2026/02/16,支出,,4780,雑費,クレジットカード,飲食店,,昼食研修生おごり,,,必要,Olive,すかいらーくグループ
2026/02/16 08:30:43,2026/02/16,支出,,616,食品,クレジットカード,飲食店,,朝食,,,必要,デビュープラス,YOSHINOYA
2026/02/16 08:10:52,2026/02/16,移動,,481,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/15 21:46:39,2026/02/15,支出,,621,食品,クレジットカード,コンビニ,,夕食,,,必要,デビュープラス,LAWSON
2026/02/15 21:44:44,2026/02/15,支出,,481,交通費,PASMO,その他,,電車 池袋〜川越市,,,必要,,
2026/02/15 20:58:13,2026/02/15,支出,,208,交通費,PASMO,その他,,電車 大崎〜池袋,,,必要,,
2026/02/15 07:31:58,2026/02/15,支出,,208,交通費,PASMO,その他,,電車 池袋〜大崎,,,必要,,
2026/02/15 07:05:33,2026/02/15,支出,,576,交通費,PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/15 06:15:05,2026/02/15,支出,,4733,通信費,クレジットカード,ネット,,ソフトバンク光,,,必要,デビュープラス,1月利用分
2026/02/15 06:15:05,2026/02/15,支出,,8148,通信費,クレジットカード,ネット,,スマホ,,,必要,デビュープラス,1月利用分
2026/02/14 20:18:13,2026/02/14,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2026/02/14 19:17:19,2026/02/14,支出,,1221,食品,クレジットカード,飲食店,,夕食,,,必要,Olive,GYOZANOOHSHOIKEBUKUROH
2026/02/14 14:27:38,2026/02/14,移動,,252,,,ネット,,GoogleDrive返金,,クレジットカード,,Olive,GOOGLE*GOOGLEONE（返品）
2026/02/14 14:18:20,2026/02/14,支出,,600,サブスク,クレジットカード,ネット,,Google AI Plus,,,なくても良い,Olive,
2026/02/14 08:18:07,2026/02/14,支出,,464,食品,クレジットカード,スーパー・小売,,昼食,,,必要,デビュープラス,AEON GROUP
2026/02/14 08:12:55,2026/02/14,支出,,616,食品,クレジットカード,飲食店,,朝食,,,必要,デビュープラス,YOSHINOYA
2026/02/14 07:51:08,2026/02/14,移動,,481,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/13 21:55:14,2026/02/13,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2026/02/13 20:31:18,2026/02/13,支出,,1540,食品,クレジットカード,飲食店,,夕食,,,必要,デビュープラス,YAYOIKENMINAMIIKEBUKUROTE
2026/02/13 08:52:08,2026/02/13,支出,,648,便利アイテム,クレジットカード,ネット,,車ドリンクホルダー,,,なくても良い,デビュープラス,ＡＭＡＺＯＮ．ＣＯ．ＪＰ
2026/02/13 08:23:15,2026/02/13,支出,,1021,食品,クレジットカード,スーパー・小売,,昼食,,,必要,Olive,イオン
2026/02/13 08:10:20,2026/02/13,移動,,481,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/13 06:15:05,2026/02/13,移動,,60000,,クレジットカード,,,SBI積立NISA入金決済,,,,デビュープラス,3月発注用
2026/02/12 22:01:13,2026/02/12,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2026/02/12 21:21:35,2026/02/12,支出,,370,交通費,クレジットカード,ネット,,TJライナー,,,なくても良い,Olive,
2026/02/12 17:11:17,2026/02/12,支出,,751,食品,クレジットカード,コンビニ,,夕食,,,必要,デビュープラス,FAMILYMART
2026/02/12 16:12:23,2026/02/12,支出,,17520,道具類,クレジットカード,その他,,スピーカースタンド4つ,,,なくても良い,Olive,Visa加盟店
2026/02/12 08:20:54,2026/02/12,支出,,795,食品,クレジットカード,スーパー・小売,,昼食,,,必要,デビュープラス,AEON GROUP
2026/02/12 08:20:24,2026/02/12,移動,,481,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/11 21:45:39,2026/02/11,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2026/02/11 20:51:40,2026/02/11,支出,,1176,食品,クレジットカード,飲食店,,夕食,,,必要,デビュープラス,YOSHINOYA
2026/02/11 08:13:26,2026/02/11,支出,,829,食品,クレジットカード,スーパー・小売,,昼食,,,必要,デビュープラス,AEON GROUP
2026/02/11 08:00:52,2026/02/11,移動,,481,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/10 23:10:22,2026/02/10,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2026/02/10 22:41:25,2026/02/10,支出,,2133,道具類,クレジットカード,ネット,,リファレンス楽曲購入,,,必要,Olive,MORA
2026/02/10 21:38:12,2026/02/10,支出,,1000,食品,クレジットカード,飲食店,,夕食,,,必要,デビュープラス,ORERYU SHIORAMEN NAKAMEGU
2026/02/10 13:27:19,2026/02/10,収入,,153181,,,,,2026年01月分ギャラ_SP,,三井住友銀行,,,
2026/02/10 08:37:02,2026/02/10,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2026/02/10 06:15:04,2026/02/10,支出,,1280,サブスク,クレジットカード,ネット,,Rentio ルンバレンタル,,,なくても良い,デビュープラス,1月利用分
2026/02/09 16:56:40,2026/02/09,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2026/02/09 15:53:37,2026/02/09,支出,,740,食品,クレジットカード,飲食店,,昼食,,,必要,デビュープラス,HANAMARUUDON
2026/02/09 12:14:13,2026/02/09,支出,,695,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,FAMILYMART
2026/02/09 12:03:35,2026/02/09,移動,,481,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/09 11:21:57,2026/02/09,移動,,10000,,クレジットカード,,,モバイルPASMOチャージ,,PASMO,,デビュープラス,モバイルＰＡＳＭＯチャージ
2026/02/09 06:15:06,2026/02/09,移動,,60000,,,,,SBI積立NISA約定,,SBI積立NISA,,,2月発注分
2026/02/05 11:21:37,2026/02/05,支出,,208,交通費,PASMO,その他,,電車 池袋〜秋葉原,,,必要,,
2026/02/05 10:57:13,2026/02/05,支出,,481,交通費,PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/04 16:24:51,2026/02/04,移動,,346000,,住信SBIネット銀行,,,ヤフオク売上引き出し,,,,,
2026/02/04 16:18:29,2026/02/04,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2026/02/04 11:33:48,2026/02/04,支出,,710,食品,クレジットカード,飲食店,,昼食,,,必要,Olive,HANAMARUUDON
2026/02/04 11:23:02,2026/02/04,移動,,481,交通費(経費),PASMO,その他,,電車 川越市〜池袋,,,必要,,
2026/02/03 23:17:37,2026/02/03,支出,,1400,交通費,クレジットカード,その他,,駐車場,,,必要,Olive,IPOSNETCHUUSHARYOUKIN
2026/02/03 16:17:49,2026/02/03,支出,,139,間食,PASMO,自動販売機,,飲み物,,,必要,,
2026/02/03 14:12:14,2026/02/03,支出,,233,間食,クレジットカード,スーパー・小売,,おやつ,,,なくても良い,デビュープラス,CREATE SD
2026/02/03 13:37:27,2026/02/03,支出,,620,医療費,現金,その他,,皮膚科,,,必要,,
2026/02/03 13:12:14,2026/02/03,支出,,2270,医療費,クレジットカード,その他,,皮膚科_薬,,,必要,デビュープラス,
2026/02/03 12:38:07,2026/02/03,支出,,449,食品,クレジットカード,スーパー・小売,,昼食,,,必要,デビュープラス,TSUKIYOSHITEN
2026/02/02 18:14:37,2026/02/02,支出,,687,食品,クレジットカード,コンビニ,,夕食,,,必要,デビュープラス,FAMILYMART
2026/02/02 18:09:39,2026/02/02,移動,,481,交通費(経費),PASMO,その他,,電車 池袋〜川越市,,,必要,,
2026/02/02 16:43:37,2026/02/02,支出,,900,食品,クレジットカード,飲食店,,夕食,,,必要,デビュープラス,HANAMARUUDON
2026/02/02 14:39:08,2026/02/02,支出,,160,間食,PASMO,自動販売機,,飲み物,,,必要,,
2026/02/02 09:06:27,2026/02/02,移動,,576,交通費(経費),PASMO,その他,,電車 川越市〜雑司が谷,,,必要,,
2026/02/02 06:15:04,2026/02/02,支出,,440,サブスク,クレジットカード,ネット,,Google One,,,必要,Olive,1月利用分
2026/02/02 06:15:04,2026/02/02,移動,,3780,,三井住友銀行,,,ENEOSカード支払い,,,,,1月利用分
2026/02/01 06:15:14,2026/02/01,支出,,8504,減価償却,償却資産,ネット,,Galaxy S24 Ultra 512GB 減価償却,,,必要,,23回目/24回
2026/02/01 06:15:14,2026/02/01,支出,,1435,減価償却,償却資産,その他,,車検_法定費用 減価償却,,,必要,,18回目/24回
2026/02/01 06:15:14,2026/02/01,支出,,2367,減価償却,償却資産,その他,,車検_整備費用 減価償却,,,必要,,18回目/24回
2026/02/01 06:15:14,2026/02/01,支出,,2875,減価償却,償却資産,ネット,,2025年度自動車税 減価償却,,,必要,,10回目/12回
2026/02/01 06:15:14,2026/02/01,支出,,1067,減価償却,償却資産,ネット,,Youtube Premium_2025 減価償却,,,なくても良い,,7回目/12回
2026/02/01 06:15:14,2026/02/01,支出,,4708,減価償却,償却資産,ネット,,自動車保険2025 減価償却,,,必要,,5回目/12回
2026/02/01 06:15:14,2026/02/01,支出,,4749,減価償却,償却資産,ネット,,コンタクト360枚_202510 減価償却,,,必要,,5回目/6回
2026/02/01 06:15:03,2026/02/01,支出,,17510,固定費,クレジットカード,ネット,,国民年金,,,必要,paypayクレジット,2月分
2026/02/01 06:15:03,2026/02/01,支出,,21000,固定費,クレジットカード,ネット,,国民健康保険,,,必要,paypayクレジット,2月分
2026/01/31 22:09:46,2026/01/31,支出,,560,食品,クレジットカード,スーパー・小売,,夕食,,,必要,Olive,AEONGROUP
2026/01/31 07:41:00,2026/01/31,支出,,348,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,SEVEN-ELEVEN
2026/01/31 06:15:05,2026/01/31,支出,,3890,固定費,クレジットカード,ネット,,電気代,,,必要,デビュープラス,1月利用分
2026/01/30 20:52:30,2026/01/30,移動,,3740,,,,,タベソダ,,,,,2026年2月1回
2026/01/30 02:01:35,2026/01/30,支出,,46000,雑費,クレジットカード,ネット,,ホテル立替え,,,必要,Olive,APAHOTELJIZENONLINEKESSAI
2026/01/30 00:50:34,2026/01/30,支出,,1226,食品,クレジットカード,飲食店,,夕食,,,必要,Olive,YOSHINOYA
2026/01/30 00:27:23,2026/01/30,支出,,2600,交通費,クレジットカード,その他,,駐車場,,,必要,Olive,MEITETSUKIYOSHIYOPA-KIN
2026/01/29 19:43:06,2026/01/29,支出,,1318,日用品,クレジットカード,ネット,,Amazon 柿渋系,,,必要,デビュープラス,ＡＭＡＺＯＮ．ＣＯ．ＪＰ
2026/01/29 15:16:04,2026/01/29,支出,,1250,食品,クレジットカード,飲食店,,昼食,,,必要,デビュープラス,バーガーキング
2026/01/28 09:36:33,2026/01/28,支出,,302,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,LAWSON
2026/01/27 06:15:04,2026/01/27,支出,,54300,固定費,ゆうちょ,ネット,,家賃,,,必要,,2月分
2026/01/27 06:15:04,2026/01/27,支出,,0,,クレジットカード,ネット,,タベソダ支払い,,,必要,デビュープラス,1月注文分
2026/01/27 06:15:04,2026/01/27,移動,,44100,,住信SBIネット銀行,,,paypayクレジット支払い,,,,,1月利用分
2026/01/27 06:15:04,2026/01/27,移動,,0,,楽天銀行,,,楽天カード 支払い,,,,,1月利用分
2026/01/26 22:47:44,2026/01/26,支出,,3210,趣味・娯楽,クレジットカード,ネット,,ラーメン,,,必要,Olive,ICHIKAKUYAKAWAGOECREAMAL
2026/01/26 22:44:54,2026/01/26,支出,,16057,食品,クレジットカード,飲食店,,夕食,,,必要,Olive,TEKETEKEKAWAGOETEN
2026/01/26 17:18:19,2026/01/26,支出,,625,間食,クレジットカード,飲食店,,おやつ,,,なくても良い,Olive,STARBUCKSCOFFEEJAPAN
2026/01/26 06:15:13,2026/01/26,支出,,13411,減価償却,償却資産,ネット,,DXR12mkIIなど 減価償却,,,必要,,1回目/36回
2026/01/26 06:15:01,2026/01/26,移動,,185332,,住信SBIネット銀行,,,デビュープラス支払い,,,,,12月利用分
2026/01/26 06:15:01,2026/01/26,移動,,80794,,三井住友銀行,,,Olive支払い,,,,,12月利用分
2026/01/26 06:04:12,2026/01/26,支出,,2919,便利アイテム,クレジットカード,ネット,,タイルカーペット30枚,,,必要,デビュープラス,アリエクスプレス
2026/01/25 20:46:58,2026/01/25,支出,,47200,道具類,クレジットカード,ネット,,スピーカースタンド4つ,,,必要,Olive,SOUNDHOUSE
2026/01/25 20:23:39,2026/01/25,償却資産追加,,482800,道具類,クレジットカード,,,DXR12mkIIなど,,償却資産,必要,Olive,SOUNDHOUSE
2026/01/25 06:15:03,2026/01/25,支出,,7059,固定費,クレジットカード,ネット,,ガス代,,,必要,デビュープラス,1月利用分
2026/01/24 22:20:50,2026/01/24,支出,,1960,食品,クレジットカード,飲食店,,夕食,,,必要,Olive,MATSUYAKAWAGOEINTA-
2026/01/24 07:07:19,2026/01/24,支出,,475,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,LAWSON
2026/01/23 19:46:01,2026/01/23,支出,,354,食品,クレジットカード,スーパー・小売,,食材,,,必要,デビュープラス,MAMMY MART
2026/01/23 17:37:23,2026/01/23,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越,,,必要,,
2026/01/23 10:34:07,2026/01/23,支出,,932,食品,クレジットカード,スーパー・小売,,昼食,,,必要,デビュープラス,TOKYU STORE
2026/01/23 10:29:23,2026/01/23,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2026/01/22 21:22:53,2026/01/22,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,必要,,
2026/01/22 20:01:03,2026/01/22,支出,,1176,食品,クレジットカード,飲食店,,夕食,,,なくても良い,デビュープラス,YOSHINOYA
2026/01/22 11:56:53,2026/01/22,支出,,1057,食品,クレジットカード,スーパー・小売,,昼食,,,必要,デビュープラス,TOKYU STORE
2026/01/22 11:49:44,2026/01/22,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,必要,,
2026/01/22 11:44:56,2026/01/22,収入,,5318,,,,,トプポからPASMOへ,,PASMO,,,
2026/01/21 21:58:05,2026/01/21,支出,,1388,交通費,PASMO,その他,,電車 新木場〜川越,,,必要,,
